rule_id,issue_type,priority,rule_text,dataset_version
RUL-001,Plumbing,Medium,Society Rule 1 for Plumbing: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-002,Water Leakage,High,Society Rule 2 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-003,Electrical,Medium,Society Rule 3 for Electrical: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-004,HVAC,Emergency,Society Rule 4 for HVAC: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-005,Lift,Emergency,Society Rule 5 for Lift: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-006,Parking,Low,Society Rule 6 for Parking: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-007,,Emergency,Society Rule 7 for Security: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-008,Fire Safety,Emergency,Society Rule 8 for Fire Safety: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-009,Water Supply,Medium,Society Rule 9 for Water Supply: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-010,Noise,,Society Rule 10 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-011,Plumbing,Emergency,Society Rule 11 for Plumbing: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-012,Water Leakage,High,Society Rule 12 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-013,Electrical,Low,Society Rule 13 for Electrical: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-014,HVAC,High,Society Rule 14 for HVAC: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-015,Lift,High,Society Rule 15 for Lift: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-016,Parking,Low,Society Rule 16 for Parking: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-017,Security,High,Society Rule 17 for Security: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-018,Fire Safety,Emergency,Society Rule 18 for Fire Safety: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-019,Water Supply,High,Society Rule 19 for Water Supply: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-020,Noise,Low,Society Rule 20 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-021,Plumbing,Medium,Society Rule 21 for Plumbing: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-022,Water Leakage,Emergency,Society Rule 22 for Water Leakage: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-023,Electrical,High,Society Rule 23 for Electrical: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-024,HVAC,Medium,Society Rule 24 for HVAC: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-025,Lift,Emergency,Society Rule 25 for Lift: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-026,,Medium,Society Rule 26 for Parking: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-027,Security,Medium,Society Rule 27 for Security: mandated priority Medium. Response SLA 24 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-028,Fire Safety,Emergency,Society Rule 28 for Fire Safety: mandated priority Emergency. Response SLA 2 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-029,Water Supply,High,Society Rule 29 for Water Supply: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-030,Noise,Low,Society Rule 30 for Noise: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-031,Plumbing,High,Society Rule 31 for Plumbing: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-032,Water Leakage,High,Society Rule 32 for Water Leakage: mandated priority High. Response SLA 8 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
RUL-033,Electrical,Low,Society Rule 33 for Electrical: mandated priority Low. Response SLA 72 hours. Escalation path: duty manager → facility head → RWA president. Penalty clause applies after SLA breach. Repeat violations within 7 days upgrade priority. Residents must allow access to utility shafts. Night curfew 22:00–06:00 applies except emergencies. Document photographic evidence before and after repair.,v1.0.0
