feedback_id,request_id,resident_id,rating,feedback_text,sentiment_label,dataset_version
FBK-00001,REQ-015000,RES-04559,4,Average experience — problem solved with follow-up visit. Rating given: 4/5. Total downtime felt like 40 hours from resident perspective.,Neutral,v1.0.0
FBK-00002,REQ-001654,RES-06393,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 36 hours from resident perspective.,Positive,v1.0.0
FBK-00003,REQ-007144,RES-04876,5,Work quality exceeded expectations; thank you maintenance team. Rating given: 5/5. Total downtime felt like 39 hours from resident perspective.,Positive,v1.0.0
FBK-00004,REQ-017929,RES-05870,3,Resolution acceptable; communication could be improved. Rating given: 3/5. Total downtime felt like 115 hours from resident perspective. Request closure confirmation via email.,Neutral,v1.0.0
FBK-00005,REQ-005201,RES-02917,5,Work quality exceeded expectations; thank you maintenance team. Rating given: 5/5. Total downtime felt like 99 hours from resident perspective.,Positive,v1.0.0
FBK-00006,REQ-013520,RES-01162,3,Average experience — problem solved with follow-up visit. Rating given: 3/5. Total downtime felt like 71 hours from resident perspective.,Neutral,v1.0.0
FBK-00007,REQ-012738,RES-06489,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 67 hours from resident perspective.,Positive,v1.0.0
FBK-00008,REQ-017816,RES-04700,3,Issue was fixed but took longer than expected. Rating given: 3/5. Total downtime felt like 15 hours from resident perspective.,Neutral,v1.0.0
FBK-00009,REQ-018640,RES-02437,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 76 hours from resident perspective.,Positive,v1.0.0
FBK-00010,REQ-019565,RES-02128,5,Work quality exceeded expectations; thank you maintenance team. Rating given: 5/5. Total downtime felt like 81 hours from resident perspective.,Positive,v1.0.0
FBK-00011,REQ-019366,RES-05329,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 102 hours from resident perspective.,Positive,v1.0.0
FBK-00012,REQ-012682,RES-06391,2,Average experience — problem solved with follow-up visit. Rating given: 2/5. Total downtime felt like 106 hours from resident perspective.,Neutral,v1.0.0
FBK-00013,REQ-013133,RES-06344,1,Poor communication; had to escalate to management. Rating given: 1/5. Total downtime felt like 7 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00014,REQ-006061,RES-05245,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 82 hours from resident perspective.,Positive,v1.0.0
FBK-00015,REQ-008784,RES-00174,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 62 hours from resident perspective.,Positive,v1.0.0
FBK-00016,REQ-016579,RES-01301,3,Average experience — problem solved with follow-up visit. Rating given: 3/5. Total downtime felt like 73 hours from resident perspective.,Neutral,v1.0.0
FBK-00017,REQ-012710,RES-03991,3,Issue was fixed but took longer than expected. Rating given: 3/5. Total downtime felt like 30 hours from resident perspective.,Neutral,v1.0.0
FBK-00018,REQ-016133,RES-00348,5,Average experience — problem solved with follow-up visit. Rating given: 5/5. Total downtime felt like 17 hours from resident perspective.,Neutral,v1.0.0
FBK-00019,REQ-001058,RES-01185,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 98 hours from resident perspective.,Positive,v1.0.0
FBK-00020,REQ-000719,RES-04802,2,Unacceptable delay and repeated visits without permanent fix. Rating given: 2/5. Total downtime felt like 25 hours from resident perspective.,Negative,v1.0.0
FBK-00021,REQ-012995,RES-03479,4,Work quality exceeded expectations; thank you maintenance team. Rating given: 4/5. Total downtime felt like 59 hours from resident perspective.,Positive,v1.0.0
FBK-00022,REQ-016122,RES-05756,3,Very satisfied with the response time and communication. Rating given: 3/5. Total downtime felt like 84 hours from resident perspective.,Positive,v1.0.0
FBK-00023,REQ-000028,RES-03027,2,Poor communication; had to escalate to management. Rating given: 2/5. Total downtime felt like 92 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00024,REQ-020812,RES-02085,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 90 hours from resident perspective.,Positive,v1.0.0
FBK-00025,REQ-007343,RES-02232,4,Technician was professional and resolved the issue quickly. Rating given: 4/5. Total downtime felt like 34 hours from resident perspective.,Positive,v1.0.0
FBK-00026,REQ-001942,RES-06292,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 97 hours from resident perspective.,Positive,v1.0.0
FBK-00027,REQ-007128,RES-03244,5,Work quality exceeded expectations; thank you maintenance team. Rating given: 5/5. Total downtime felt like 53 hours from resident perspective.,Positive,v1.0.0
FBK-00028,REQ-009390,RES-00861,5,Average experience — problem solved with follow-up visit. Rating given: 5/5. Total downtime felt like 71 hours from resident perspective.,Neutral,v1.0.0
FBK-00029,REQ-004054,RES-02489,4,Average experience — problem solved with follow-up visit. Rating given: 4/5. Total downtime felt like 114 hours from resident perspective.,Neutral,v1.0.0
FBK-00030,REQ-017881,RES-01534,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 15 hours from resident perspective.,Positive,v1.0.0
FBK-00031,REQ-001863,RES-06292,2,Average experience — problem solved with follow-up visit. Rating given: 2/5. Total downtime felt like 76 hours from resident perspective.,Neutral,v1.0.0
FBK-00032,REQ-018751,RES-06245,4,Very satisfied with the response time and communication. Rating given: 4/5. Total downtime felt like 14 hours from resident perspective.,Positive,v1.0.0
FBK-00033,REQ-014404,RES-06429,4,Work quality exceeded expectations; thank you maintenance team. Rating given: 4/5. Total downtime felt like 96 hours from resident perspective.,Positive,v1.0.0
FBK-00034,REQ-021205,RES-04030,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 60 hours from resident perspective.,Positive,v1.0.0
FBK-00035,REQ-018890,RES-00475,4,Technician was professional and resolved the issue quickly. Rating given: 4/5. Total downtime felt like 63 hours from resident perspective.,Positive,v1.0.0
FBK-00036,REQ-008780,RES-01086,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 91 hours from resident perspective.,Positive,v1.0.0
FBK-00037,REQ-021243,RES-04512,5,Very satisfied with the response time and communication. Rating given: 5/5. Total downtime felt like 61 hours from resident perspective.,Positive,v1.0.0
FBK-00038,REQ-015417,RES-00472,4,Issue was fixed but took longer than expected. Rating given: 4/5. Total downtime felt like 40 hours from resident perspective.,Neutral,v1.0.0
FBK-00039,REQ-017341,RES-04077,2,Poor communication; had to escalate to management. Rating given: 2/5. Total downtime felt like 78 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00040,REQ-001836,RES-01093,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 41 hours from resident perspective.,Positive,v1.0.0
FBK-00041,REQ-019231,RES-05309,1,Technician left site without verifying complete resolution. Rating given: 1/5. Total downtime felt like 72 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00042,REQ-017051,RES-06445,4,Issue was fixed but took longer than expected. Rating given: 4/5. Total downtime felt like 19 hours from resident perspective.,Neutral,v1.0.0
FBK-00043,REQ-003953,RES-03072,2,Poor communication; had to escalate to management. Rating given: 2/5. Total downtime felt like 48 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00044,REQ-010365,RES-03218,5,Technician was professional and resolved the issue quickly. Rating given: 5/5. Total downtime felt like 24 hours from resident perspective.,Positive,v1.0.0
FBK-00045,REQ-021426,RES-01049,4,Resolution acceptable; communication could be improved. Rating given: 4/5. Total downtime felt like 105 hours from resident perspective. Request closure confirmation via email.,Neutral,v1.0.0
FBK-00046,REQ-020142,RES-01369,5,,Positive,v1.0.0
FBK-00047,REQ-008067,RES-01744,1,Poor communication; had to escalate to management. Rating given: 1/5. Total downtime felt like 4 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00048,REQ-017869,RES-04884,1,,Negative,v1.0.0
FBK-00049,REQ-006227,RES-05550,1,Poor communication; had to escalate to management. Rating given: 1/5. Total downtime felt like 63 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
FBK-00050,REQ-021484,RES-03552,5,Average experience — problem solved with follow-up visit. Rating given: 5/5. Total downtime felt like 34 hours from resident perspective.,Neutral,v1.0.0
FBK-00051,REQ-018718,RES-03521,4,Work quality exceeded expectations; thank you maintenance team. Rating given: 4/5. Total downtime felt like 75 hours from resident perspective.,Positive,v1.0.0
FBK-00052,REQ-020148,RES-05911,5,Average experience — problem solved with follow-up visit. Rating given: 5/5. Total downtime felt like 34 hours from resident perspective. Reference token 50bc1ab6.,Neutral,v1.0.0
FBK-00053,REQ-012037,RES-04347,4,Unacceptable delay and repeated visits without permanent fix. Rating given: 4/5. Total downtime felt like 77 hours from resident perspective.,Negative,v1.0.0
FBK-00054,REQ-018621,RES-02968,4,Resolution acceptable; communication could be improved. Rating given: 4/5. Total downtime felt like 112 hours from resident perspective. Request closure confirmation via email.,Neutral,v1.0.0
FBK-00055,REQ-019812,RES-00107,2,Technician left site without verifying complete resolution. Rating given: 2/5. Total downtime felt like 89 hours from resident perspective. Request closure confirmation via email.,Negative,v1.0.0
