feedback_id,request_id,resident_id,rating,feedback_text,sentiment_label,dataset_version
fbk-00001,req-015000,res-04559,4,average experience — problem solved with follow-up visit. rating given: 4/5. total downtime felt like 40 hours from resident perspective.,neutral,v1.0.0
fbk-00002,req-001654,res-06393,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 36 hours from resident perspective.,positive,v1.0.0
fbk-00003,req-007144,res-04876,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 39 hours from resident perspective.,positive,v1.0.0
fbk-00004,req-017929,res-05870,3,resolution acceptable; communication could be improved. rating given: 3/5. total downtime felt like 115 hours from resident perspective. request closure confirmation via email.,neutral,v1.0.0
fbk-00005,req-005201,res-02917,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 99 hours from resident perspective.,positive,v1.0.0
fbk-00006,req-013520,res-01162,3,average experience — problem solved with follow-up visit. rating given: 3/5. total downtime felt like 71 hours from resident perspective.,neutral,v1.0.0
fbk-00007,req-012738,res-06489,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 67 hours from resident perspective.,positive,v1.0.0
fbk-00008,req-017816,res-04700,3,issue was fixed but took longer than expected. rating given: 3/5. total downtime felt like 15 hours from resident perspective.,neutral,v1.0.0
fbk-00009,req-018640,res-02437,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 76 hours from resident perspective.,positive,v1.0.0
fbk-00010,req-019565,res-02128,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 81 hours from resident perspective.,positive,v1.0.0
fbk-00011,req-019366,res-05329,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 102 hours from resident perspective.,positive,v1.0.0
fbk-00012,req-012682,res-06391,2,average experience — problem solved with follow-up visit. rating given: 2/5. total downtime felt like 106 hours from resident perspective.,neutral,v1.0.0
fbk-00013,req-013133,res-06344,1,poor communication; had to escalate to management. rating given: 1/5. total downtime felt like 7 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00014,req-006061,res-05245,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 82 hours from resident perspective.,positive,v1.0.0
fbk-00015,req-008784,res-00174,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 62 hours from resident perspective.,positive,v1.0.0
fbk-00016,req-016579,res-01301,3,average experience — problem solved with follow-up visit. rating given: 3/5. total downtime felt like 73 hours from resident perspective.,neutral,v1.0.0
fbk-00017,req-012710,res-03991,3,issue was fixed but took longer than expected. rating given: 3/5. total downtime felt like 30 hours from resident perspective.,neutral,v1.0.0
fbk-00018,req-016133,res-00348,5,average experience — problem solved with follow-up visit. rating given: 5/5. total downtime felt like 17 hours from resident perspective.,neutral,v1.0.0
fbk-00019,req-001058,res-01185,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 98 hours from resident perspective.,positive,v1.0.0
fbk-00020,req-000719,res-04802,2,unacceptable delay and repeated visits without permanent fix. rating given: 2/5. total downtime felt like 25 hours from resident perspective.,negative,v1.0.0
fbk-00021,req-012995,res-03479,4,work quality exceeded expectations; thank you maintenance team. rating given: 4/5. total downtime felt like 59 hours from resident perspective.,positive,v1.0.0
fbk-00022,req-016122,res-05756,3,very satisfied with the response time and communication. rating given: 3/5. total downtime felt like 84 hours from resident perspective.,positive,v1.0.0
fbk-00023,req-000028,res-03027,2,poor communication; had to escalate to management. rating given: 2/5. total downtime felt like 92 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00024,req-020812,res-02085,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 90 hours from resident perspective.,positive,v1.0.0
fbk-00025,req-007343,res-02232,4,technician was professional and resolved the issue quickly. rating given: 4/5. total downtime felt like 34 hours from resident perspective.,positive,v1.0.0
fbk-00026,req-001942,res-06292,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 97 hours from resident perspective.,positive,v1.0.0
fbk-00027,req-007128,res-03244,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 53 hours from resident perspective.,positive,v1.0.0
fbk-00028,req-009390,res-00861,5,average experience — problem solved with follow-up visit. rating given: 5/5. total downtime felt like 71 hours from resident perspective.,neutral,v1.0.0
fbk-00029,req-004054,res-02489,4,average experience — problem solved with follow-up visit. rating given: 4/5. total downtime felt like 114 hours from resident perspective.,neutral,v1.0.0
fbk-00030,req-017881,res-01534,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 15 hours from resident perspective.,positive,v1.0.0
fbk-00031,req-001863,res-06292,2,average experience — problem solved with follow-up visit. rating given: 2/5. total downtime felt like 76 hours from resident perspective.,neutral,v1.0.0
fbk-00032,req-018751,res-06245,4,very satisfied with the response time and communication. rating given: 4/5. total downtime felt like 14 hours from resident perspective.,positive,v1.0.0
fbk-00033,req-014404,res-06429,4,work quality exceeded expectations; thank you maintenance team. rating given: 4/5. total downtime felt like 96 hours from resident perspective.,positive,v1.0.0
fbk-00034,req-021205,res-04030,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 60 hours from resident perspective.,positive,v1.0.0
fbk-00035,req-018890,res-00475,4,technician was professional and resolved the issue quickly. rating given: 4/5. total downtime felt like 63 hours from resident perspective.,positive,v1.0.0
fbk-00036,req-008780,res-01086,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 91 hours from resident perspective.,positive,v1.0.0
fbk-00037,req-021243,res-04512,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 61 hours from resident perspective.,positive,v1.0.0
fbk-00038,req-015417,res-00472,4,issue was fixed but took longer than expected. rating given: 4/5. total downtime felt like 40 hours from resident perspective.,neutral,v1.0.0
fbk-00039,req-017341,res-04077,2,poor communication; had to escalate to management. rating given: 2/5. total downtime felt like 78 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00040,req-001836,res-01093,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 41 hours from resident perspective.,positive,v1.0.0
fbk-00041,req-019231,res-05309,1,technician left site without verifying complete resolution. rating given: 1/5. total downtime felt like 72 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00042,req-017051,res-06445,4,issue was fixed but took longer than expected. rating given: 4/5. total downtime felt like 19 hours from resident perspective.,neutral,v1.0.0
fbk-00043,req-003953,res-03072,2,poor communication; had to escalate to management. rating given: 2/5. total downtime felt like 48 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00044,req-010365,res-03218,5,technician was professional and resolved the issue quickly. rating given: 5/5. total downtime felt like 24 hours from resident perspective.,positive,v1.0.0
fbk-00045,req-021426,res-01049,4,resolution acceptable; communication could be improved. rating given: 4/5. total downtime felt like 105 hours from resident perspective. request closure confirmation via email.,neutral,v1.0.0
fbk-00046,req-020142,res-01369,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 69 hours from resident perspective. reference token 41b3885a.,positive,v1.0.0
fbk-00047,req-008067,res-01744,1,poor communication; had to escalate to management. rating given: 1/5. total downtime felt like 4 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00048,req-017869,res-04884,1,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 69 hours from resident perspective. reference token 41b3885a.,negative,v1.0.0
fbk-00049,req-006227,res-05550,1,poor communication; had to escalate to management. rating given: 1/5. total downtime felt like 63 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00050,req-021484,res-03552,5,average experience — problem solved with follow-up visit. rating given: 5/5. total downtime felt like 34 hours from resident perspective.,neutral,v1.0.0
fbk-00051,req-018718,res-03521,4,work quality exceeded expectations; thank you maintenance team. rating given: 4/5. total downtime felt like 75 hours from resident perspective.,positive,v1.0.0
fbk-00052,req-020148,res-05911,5,average experience — problem solved with follow-up visit. rating given: 5/5. total downtime felt like 34 hours from resident perspective. reference token 50bc1ab6.,neutral,v1.0.0
fbk-00053,req-012037,res-04347,4,unacceptable delay and repeated visits without permanent fix. rating given: 4/5. total downtime felt like 77 hours from resident perspective.,negative,v1.0.0
fbk-00054,req-018621,res-02968,4,resolution acceptable; communication could be improved. rating given: 4/5. total downtime felt like 112 hours from resident perspective. request closure confirmation via email.,neutral,v1.0.0
fbk-00055,req-019812,res-00107,2,technician left site without verifying complete resolution. rating given: 2/5. total downtime felt like 89 hours from resident perspective. request closure confirmation via email.,negative,v1.0.0
fbk-00056,req-005041,res-03887,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 73 hours from resident perspective.,positive,v1.0.0
fbk-00057,req-007008,res-05998,5,very satisfied with the response time and communication. rating given: 5/5. total downtime felt like 32 hours from resident perspective.,positive,v1.0.0
fbk-00058,req-014596,res-04991,5,work quality exceeded expectations; thank you maintenance team. rating given: 5/5. total downtime felt like 78 hours from resident perspective.,positive,v1.0.0
