rule_id,issue_type,priority,rule_text,dataset_version
rul-001,plumbing,medium,society rule 1 for plumbing: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-002,water leakage,high,society rule 2 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-003,electrical,medium,society rule 3 for electrical: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-004,hvac,emergency,society rule 4 for hvac: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-005,lift,emergency,society rule 5 for lift: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-006,parking,low,society rule 6 for parking: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-007,electrical,emergency,society rule 7 for security: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-008,fire safety,emergency,society rule 8 for fire safety: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-009,water supply,medium,society rule 9 for water supply: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-010,noise,high,society rule 10 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-011,plumbing,emergency,society rule 11 for plumbing: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-012,water leakage,high,society rule 12 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-013,electrical,low,society rule 13 for electrical: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-014,hvac,high,society rule 14 for hvac: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-015,lift,high,society rule 15 for lift: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-016,parking,low,society rule 16 for parking: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-017,security,high,society rule 17 for security: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-018,fire safety,emergency,society rule 18 for fire safety: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-019,water supply,high,society rule 19 for water supply: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-020,noise,low,society rule 20 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-021,plumbing,medium,society rule 21 for plumbing: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-022,water leakage,emergency,society rule 22 for water leakage: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-023,electrical,high,society rule 23 for electrical: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-024,hvac,medium,society rule 24 for hvac: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-025,lift,emergency,society rule 25 for lift: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-026,electrical,medium,society rule 26 for parking: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-027,security,medium,society rule 27 for security: mandated priority medium. response sla 24 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-028,fire safety,emergency,society rule 28 for fire safety: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-029,water supply,high,society rule 29 for water supply: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-030,noise,low,society rule 30 for noise: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-031,plumbing,high,society rule 31 for plumbing: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-032,water leakage,high,society rule 32 for water leakage: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-033,electrical,low,society rule 33 for electrical: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-034,hvac,high,society rule 34 for hvac: mandated priority high. response sla 8 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-035,lift,emergency,society rule 35 for lift: mandated priority emergency. response sla 2 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
rul-036,parking,low,society rule 36 for parking: mandated priority low. response sla 72 hours. escalation path: duty manager → facility head → rwa president. penalty clause applies after sla breach. repeat violations within 7 days upgrade priority. residents must allow access to utility shafts. night curfew 22:00–06:00 applies except emergencies. document photographic evidence before and after repair.,v1.0.0
